%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 300
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8}
@data
-911.4633,856.0818,0
-492.97476,233.67639,1
152.89404,122.07434,1
356.03516,611.72485,1
-69.15515,-24.42517,2
-836.5293,255.0669,3
-287.5818,-879.3688,4
-395.21106,903.5386,5
873.17004,355.4491,6
921.86975,-696.6356,7
-169.88098,505.12524,8
-26.068787,-365.23212,2
-190.16705,90.87744,2
-282.9131,-982.6315,4
-948.72076,267.6797,3
-42.74402,591.48157,8
238.06934,783.9971,1
362.5193,397.7079,1
942.1354,644.28455,6
35.580444,-70.57568,2
-320.5783,864.22,5
-869.5531,512.58777,0
448.68396,609.60864,1
103.58606,-59.66913,2
914.1128,-696.3972,7
604.87366,654.07104,1
-378.61554,-87.44647,2
319.6477,745.8898,1
911.94763,604.28076,6
-879.5163,879.306,0
-738.4199,802.4136,0
-308.68274,-742.5704,4
-906.79877,481.5111,0
903.5946,202.77698,6
532.042,485.735,1
-859.60144,707.80115,0
413.88,488.02393,1
-668.72644,618.65686,0
-303.91125,676.56946,8
127.30859,428.9923,1
661.8557,350.29004,6
-372.92078,575.1022,8
591.66785,684.88855,1
-809.33704,729.00037,0
768.26,95.73108,6
915.8331,207.30798,6
-88.52875,-762.5072,4
-275.03333,86.515015,2
-158.50397,539.0947,8
-14.812622,-339.5874,2
906.82764,-751.8431,7
-653.9707,834.3296,0
-369.04285,451.94275,8
-347.62292,188.54138,2
891.2627,568.16187,6
-290.72357,626.9032,8
-584.7187,842.94946,0
14.820068,-215.53967,2
-850.14087,995.0668,0
-318.14185,908.1985,5
268.02734,494.89087,1
149.7572,564.3933,1
-144.5813,543.13464,8
954.2859,-651.5313,7
-787.9923,295.26892,3
-287.16052,384.27148,8
-651.38464,854.8004,0
620.82446,563.5481,1
80.97766,495.3009,1
-206.70874,-682.02844,4
-101.22101,-822.4641,4
-282.30035,267.42017,2
-364.5489,-828.3171,4
796.18066,372.7151,6
-822.6864,823.4396,0
-106.56555,-808.87366,4
841.2335,285.56226,6
-463.3006,-795.27625,4
55.025757,398.964,1
-712.8015,938.3064,0
245.71606,-30.41333,2
-813.1902,330.76257,3
611.6056,516.43835,1
603.8169,360.48486,1
276.4812,-33.08783,2
-693.43774,866.99365,0
-335.40167,55.296143,2
-143.47955,599.5403,8
-327.677,-692.58777,4
536.58154,692.1782,1
142.2539,-102.97522,2
-693.8345,874.8302,0
7.968994,408.97363,8
-473.71844,986.40076,5
-644.3419,644.5209,0
485.47522,551.50354,1
98.3822,-139.16827,2
-936.38257,237.34314,3
87.2666,-24.2724,2
795.98804,144.71204,6
694.1632,353.745,6
-303.32684,-222.84521,2
643.3417,568.6057,1
26.703003,261.16467,2
676.306,484.68738,1
429.2307,248.8966,1
158.9082,198.71509,2
-299.2149,-85.82092,2
-257.01428,73.16821,2
-40.44287,494.00708,8
733.40955,221.62195,6
110.280396,590.0276,1
-911.6023,855.9525,0
-154.86432,545.8052,8
767.1864,253.51184,6
-173.39929,618.2252,8
278.69214,510.93518,1
220.07031,497.45117,1
-197.22998,660.20337,8
649.3949,484.98657,6
-912.6299,131.03333,3
-65.27991,-86.14508,2
438.31665,596.681,1
132.12854,73.35132,2
974.73083,587.11255,6
86.61658,-39.330322,2
-985.4963,334.26562,3
963.1881,117.31702,6
-83.782104,-129.17365,2
-470.62384,-778.4509,4
183.17065,100.43689,2
-554.65015,745.43005,0
-12.532288,-196.27502,2
-685.4324,760.2334,0
535.68616,720.4126,1
693.23816,543.1831,6
-588.6045,758.9802,0
505.87463,702.24817,1
23.400757,267.76538,2
242.71448,875.77026,1
393.12036,624.51965,1
-925.1704,928.27466,0
804.0082,228.10596,6
699.318,497.71106,1
-470.74536,-913.4163,4
248.91296,118.70459,2
312.1316,342.1001,1
-820.1254,968.1394,0
242.67212,454.09094,1
-511.28375,-824.4391,4
-196.94238,330.66687,8
-462.0523,-867.3982,4
-177.2044,-912.97614,4
512.07007,907.73535,1
-456.5365,986.78125,5
-960.4555,378.0244,3
-994.09314,829.95374,0
600.0382,647.3153,1
469.2965,836.02246,1
-301.45404,-656.35944,4
-292.60126,-76.32086,2
-151.75366,524.01196,8
371.11365,529.16296,1
-469.43787,-984.7765,4
-122.46777,-55.663025,2
653.6145,414.2583,1
-90.33917,73.64758,2
-923.3648,848.78015,0
922.98694,65.33362,6
81.54346,-119.90509,2
-250.07928,564.3491,8
538.522,770.6345,1
144.26758,907.62646,1
784.2593,461.44934,6
-898.28827,127.63574,3
680.2123,194.28137,6
-107.809814,309.38953,8
562.28735,859.1808,1
-592.30005,741.49194,0
832.96423,302.3755,6
664.69165,512.7488,6
300.35144,944.1262,1
979.4684,-662.0393,7
-931.1384,796.105,0
-397.4334,-858.8278,4
46.568237,687.578,1
-37.535034,-298.93317,2
-205.89575,711.42346,8
657.14294,634.57117,1
-87.08972,-925.8227,4
708.17395,428.21765,6
248.74622,-12.092102,2
496.06067,380.28455,1
839.15784,525.25684,6
658.8192,571.84106,1
-698.31006,738.4271,0
-743.7673,931.4015,0
813.6013,247.60547,6
-571.4473,863.76807,0
-184.72235,519.32605,8
-817.07837,157.60486,3
-907.14716,347.30408,3
659.5729,805.29346,1
-897.8668,467.90552,0
-0.28930664,635.0923,1
173.64465,60.821777,2
632.448,387.0526,1
-267.35742,653.32263,8
-172.66632,-127.50592,2
-454.87598,959.9524,5
-82.53186,649.27124,8
699.1044,500.302,1
28.129883,748.2539,1
-40.290283,-46.730713,2
-654.82263,248.72742,3
-126.80957,581.10657,8
-13.19165,-196.5564,2
-223.70563,-725.89026,4
469.4933,730.3839,1
-948.97644,857.22327,0
109.753784,278.63574,2
0.15698242,479.80188,8
-836.9732,778.85376,0
-215.25323,-287.9917,2
141.5166,381.36877,1
262.92554,-56.627502,2
574.6382,550.0846,1
179.03027,231.99182,2
79.225464,576.2699,1
-216.12756,584.77563,8
-229.27014,93.71936,2
-917.0687,168.30066,3
64.09656,449.5056,1
-378.58148,865.7488,5
-881.10645,764.32874,0
-215.36908,-194.00916,2
128.06958,-194.14703,2
-97.65668,-189.77979,2
726.68164,117.99182,6
-210.19275,502.0879,8
106.96643,272.8634,2
-964.49536,754.60876,0
-269.2655,-925.31573,4
-628.37555,747.8163,0
-138.46643,-48.87384,2
589.32104,859.9889,1
189.09937,-240.37708,2
-193.09613,475.44922,8
66.82861,750.15234,1
-779.1436,574.15137,0
-367.68573,-57.67804,2
156.09387,-14.231323,2
-638.483,882.12,0
20.135864,546.32776,8
-99.61957,-747.0432,4
876.0072,489.52222,6
180.03027,-116.97565,2
259.2461,743.0122,1
-110.10516,-212.89923,2
355.56274,668.66064,1
977.9697,495.59753,6
194.48572,568.3528,1
806.1328,501.17603,6
-17.372559,-153.06964,2
483.14807,814.2156,1
-940.72784,517.9779,0
682.291,510.74207,1
-973.78235,298.662,3
-179.56085,690.8463,8
630.10803,794.66016,1
-987.05914,960.55444,0
-520.8668,-897.8887,4
-399.0174,864.35486,5
-60.969482,-256.97217,2
-651.35156,618.5857,0
-901.84906,984.07166,0
916.06055,165.56458,6
454.5182,567.41016,1
8.904358,389.3534,8
431.75977,423.86987,1
774.7772,441.88342,6
261.70068,494.1327,1
581.27234,718.8219,1
-95.77203,639.1803,8
793.9292,604.6727,6
155.61975,-14.036987,2
-38.54193,267.4026,2
38.40686,-244.41669,2
260.96716,419.03845,1
-716.37573,759.6472,0
-689.78375,304.3606,3
679.3717,204.02075,6
904.9453,643.37537,6
-756.06067,508.2152,0
845.31055,131.26074,6
276.37268,716.89417,1
-527.5532,900.3523,0
343.97632,493.83472,1
-289.47156,604.1544,8
741.03845,422.55017,6
738.213,442.787,6
-885.4494,927.92456,0
