%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 241
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
800.57495,297.65247,1
-699.926,-914.5992,0
-506.27792,633.06885,0
942.5742,-222.60052,1
947.6942,902.8021,0
609.3605,924.19934,1
553.17773,234.3274,0
627.8235,419.4535,1
-293.68018,-640.53406,0
-265.56458,491.5774,1
-899.9274,-431.70245,1
424.87317,-855.3699,1
538.7561,974.81177,1
-551.19104,-421.7796,0
714.61145,-573.9741,1
-626.92694,-748.3635,0
-485.38812,-512.95306,0
996.05566,942.8008,1
52.243164,402.3645,1
526.7528,18.593567,0
-904.1353,-112.322266,0
369.14233,-654.4085,0
-785.095,-115.32178,1
-179.24878,-35.90619,0
-421.47888,70.05676,1
-533.7545,426.96753,1
678.244,724.9868,1
204.25024,140.61743,1
-464.95087,-463.41986,0
-911.1819,-820.7295,1
-610.4968,-268.77606,1
-884.8808,-114.46155,0
127.15039,562.9088,1
69.9292,-401.59863,1
-605.1025,-751.9403,0
157.98804,-488.40714,0
621.33215,821.1089,1
-419.3313,-123.10504,0
-963.0553,-330.0011,0
-922.2141,412.82397,0
-159.87329,504.6173,1
-140.3277,-786.87573,1
-618.6403,739.23267,0
-213.50305,993.656,0
619.6981,-523.5457,0
245.58899,961.67017,1
-910.2411,927.9883,0
304.40027,697.89294,1
-380.03137,878.12585,1
464.578,437.78345,1
-551.4366,-910.1146,0
-981.9236,221.07556,1
-953.7183,990.1675,0
-365.31183,214.25806,0
-303.87097,887.073,1
635.97876,-266.22614,1
-7.9821777,926.29944,1
-603.7605,-788.0764,0
-840.72675,259.69092,1
638.3844,625.03076,0
-800.5375,-28.318115,0
962.08923,285.35498,0
-982.9907,-598.5438,1
872.05286,-105.68689,0
61.620117,-958.23126,0
703.9348,343.29163,1
753.43713,-660.04724,1
-769.0596,-123.03076,1
650.55664,-158.22137,1
-849.4336,-681.3557,1
543.3838,-707.5427,0
-907.1734,-517.6704,0
458.24658,847.81555,0
-28.746826,-484.13916,0
933.5242,477.90454,0
-652.26636,555.23047,0
-626.21216,-790.81274,1
652.2069,-986.1858,1
-761.6454,-987.13605,0
-542.47095,340.87988,0
-803.76025,87.48547,0
-853.6614,-109.73767,1
64.534424,904.15796,0
27.118164,339.62476,1
-304.76923,-198.49261,0
786.2838,59.325195,1
-691.2541,-26.97528,1
-153.84802,-917.6782,0
-118.12695,438.11475,1
-802.0597,476.3109,0
843.37036,805.489,0
-723.81213,-461.34784,0
740.40955,-682.3611,0
-163.47046,-635.3838,0
910.91296,-479.12634,0
-788.24225,989.86194,1
196.41248,868.4612,1
-910.5454,-42.685852,1
992.2543,-714.8524,0
634.8153,254.05188,0
560.24243,-931.09155,0
-350.00458,21.437317,0
-404.55774,-931.9272,0
10.546326,146.27783,0
-915.13495,-344.37683,0
63.149292,145.84961,1
-969.1165,-847.1206,0
438.5443,-12.632202,1
-384.98212,776.07996,1
979.6858,-576.00476,1
795.4309,-645.5396,1
-423.13098,-155.50134,1
-419.89526,678.9385,1
726.75525,-249.29901,0
682.00574,-213.1524,0
897.5204,993.2175,0
-203.909,-610.5632,0
313.15393,-522.39954,1
163.03247,-657.0079,1
810.3751,-165.26477,1
692.06067,108.04602,0
934.6134,-365.36218,0
-34.892944,-190.35938,1
608.65137,-816.04553,1
-335.0135,-700.87854,0
-570.7517,-674.49817,0
-941.0428,-262.63672,0
-957.5193,-537.1552,0
291.6576,102.30151,1
955.5654,-757.27234,0
-467.10345,-179.44482,1
618.1814,890.407,1
-910.40314,-197.07715,1
-574.8057,-476.4013,1
999.6134,614.4988,0
449.3457,254.61829,0
-580.8067,638.73254,0
919.77563,380.8684,1
-694.72375,-73.65967,1
651.86707,283.3861,1
957.1626,198.69702,1
-543.79877,-907.2852,1
-633.4217,-835.9012,1
-121.452576,0.67889404,0
946.8434,-914.2787,1
36.66919,-975.7724,0
955.48474,-687.408,1
629.9458,760.64636,0
143.72253,-631.39166,0
929.7815,-621.8756,0
-816.9143,27.428345,0
456.63794,896.67737,0
24.97876,-360.39728,1
