%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
781.3594,518.22754,1
171.71033,-995.4763,0
-436.67688,964.6019,0
-447.16553,253.78198,0
244.54834,223.04187,0
479.21875,-284.50116,0
221.77087,-672.9519,0
109.44214,866.7323,0
475.36035,550.45325,1
-280.06012,837.069,0
330.67957,522.6377,0
662.24414,-992.66235,0
767.8021,117.232666,1
-776.4365,998.98267,0
421.6499,67.656494,0
660.8761,-423.34387,0
267.6034,997.8396,0
216.55676,613.12476,0
295.11926,473.43835,0
-871.5549,319.16016,0
-644.31616,230.28882,0
962.0929,685.9523,1
-182.77155,-487.31964,0
962.8767,574.5121,1
-928.4739,646.38745,0
-453.69568,-524.60645,0
442.71838,636.74,0
528.83813,-971.4746,0
912.56995,-651.61,1
-417.54004,814.2234,0
-456.62653,919.66943,0
873.0001,-126.059204,1
-346.74994,-683.6155,0
-702.6708,-797.4824,0
34.926147,744.3468,0
-747.9072,799.3911,0
-192.1123,-983.1086,0
446.74243,-225.5639,0
-144.85297,913.0902,0
916.202,-525.19916,1
-780.3175,-935.682,0
-906.42316,-367.68365,0
-678.0598,-28.717834,0
570.8999,126.75037,1
408.61475,380.58313,0
-994.0172,118.38818,0
-745.7444,439.32104,0
526.0187,24.12024,0
811.0709,798.22253,1
933.66113,94.423706,1
-761.36816,-851.79065,0
-961.1155,194.32458,0
-455.99377,-447.71167,0
-479.99524,799.6339,0
-75.81952,-625.9077,0
859.8213,-809.5504,1
826.4547,-393.64496,1
107.917725,-642.8744,0
-271.1739,967.0591,0
487.7367,-770.39404,0
691.2018,257.9441,1
197.12256,499.22925,0
839.6133,-830.48,1
-856.3954,522.8108,0
119.4292,968.681,0
810.77,582.0121,1
-110.1062,-680.53,0
969.6554,116.71069,1
231.14673,-135.50537,0
-470.83685,459.28845,0
-803.7947,-866.047,0
462.08643,67.45654,0
-335.7777,851.17444,0
-551.59283,286.43945,0
937.65625,768.04004,1
-354.8946,267.0459,0
774.82385,-209.40375,1
821.8003,-175.64594,1
-839.3725,-655.3695,0
-5.879822,-257.55707,0
-207.9162,682.9291,0
641.7748,313.80652,1
991.603,-849.6073,1
615.8854,747.7887,1
559.8003,-699.8638,0
-79.79761,490.57886,0
940.94495,-806.84607,1
693.4203,470.01562,1
-2.0130615,216.08301,0
924.87805,-188.35614,1
680.42114,316.05347,1
703.50964,-331.8227,1
-82.915955,-321.43707,0
-870.0094,462.72046,0
-822.69763,563.7705,0
-585.4004,66.80664,0
317.64258,-731.44446,0
-861.6024,217.51318,0
567.83765,-3.8598022,0
172.9021,823.61536,0
-191.70465,-207.97125,0
333.5121,718.9486,0
-347.07715,644.46924,0
484.51953,891.84546,1
-725.1741,-650.4037,0
518.61804,252.72192,0
-601.2257,-194.13464,0
-598.5978,597.58826,0
-566.8507,29.345825,0
301.4237,583.4647,0
-674.58105,-629.11,0
-281.04767,252.38086,0
-600.9844,168.14722,0
-518.33203,-76.15161,0
165.81519,379.85107,0
493.08447,121.392456,0
-92.749146,-373.24536,0
-800.41064,606.93384,0
678.416,503.0442,1
-115.44281,567.51685,0
-686.6547,24.016602,0
103.07373,532.08093,0
995.9862,640.2567,1
838.3888,-308.32336,1
-989.7965,375.50342,0
-708.7106,-45.270264,0
-606.51184,-665.15125,0
606.1666,289.66016,1
-607.132,-918.1335,0
-707.3749,-309.63245,0
-142.15302,197.71875,0
-380.9345,445.79565,0
4.0290527,-287.7577,0
834.74243,-697.00854,1
342.40735,36.472534,0
-280.61298,583.78076,0
-6.8673706,528.0115,0
-335.4466,348.38098,0
88.89661,-114.89722,0
258.43066,294.97742,0
-478.09937,192.22827,0
175.93982,242.49329,0
899.70374,-370.5053,1
-931.48834,764.48425,0
-750.92676,610.0305,0
-896.978,825.29285,0
-256.71008,-575.9309,0
-183.06427,-884.6984,0
-472.8114,345.34363,0
-963.207,190.32703,0
575.5397,-405.12415,0
-250.2547,-509.10263,0
-555.7894,559.1915,0
22.92981,850.36316,0
-240.13177,-775.5502,0
333.04822,196.49121,0
342.81775,-85.07391,0
-1.4073486,-190.60388,0
-31.104431,113.74194,0
-200.25806,719.3655,0
950.16626,-604.3119,1
-673.9728,611.34094,0
-49.49933,-683.5612,0
-890.554,948.51697,0
-249.06177,479.41235,0
-819.2195,-64.27667,0
41.068237,-59.01941,0
-670.54517,-586.03687,0
736.4896,616.6887,1
52.34375,-189.32233,0
-191.26025,415.59424,0
944.52356,-133.987,1
-837.0918,456.7931,0
-884.96576,-986.4302,0
709.4824,911.6492,1
103.29944,14.816772,0
450.7965,-232.80133,0
-273.07068,-270.44757,0
-861.2119,120.65344,0
-690.7892,750.50635,0
-140.41058,-508.1182,0
814.6642,38.368042,1
-238.1861,80.1969,0
563.6277,664.2395,1
-930.77856,-106.265625,0
401.90698,-700.2886,0
-495.22144,-755.8398,0
-530.89575,-809.5412,0
301.95483,-773.60535,0
39.322754,7.465271,0
-909.57434,492.4973,0
-699.48303,190.67993,0
-882.8188,-119.18988,0
-606.16077,183.11816,0
-499.63336,-724.0946,0
551.91125,299.12024,1
-487.9906,-548.1561,0
755.02673,878.6819,1
-752.8835,-409.30396,0
-33.13141,850.48096,0
-539.548,670.2374,0
-283.59454,-140.58301,0
838.63464,-20.821655,1
-439.794,710.1953,0
-475.97717,645.24316,0
789.49133,-963.3195,1
-681.818,250.86792,0
638.8218,-172.54608,1
-333.4417,363.23706,0
-791.6065,-278.79114,0
262.30957,119.83264,0
329.49854,-168.67719,0
-93.92523,-112.3739,0
682.77734,267.14758,1
-880.21204,-546.5106,0
621.47766,490.26294,1
936.4746,-794.6374,1
-642.9977,-822.86,0
274.29272,328.1631,0
431.61584,-644.6331,0
-648.0869,-834.6238,0
733.25085,-761.211,1
713.6566,-413.2787,1
-300.0622,407.62305,0
606.63965,-545.7616,0
816.4579,762.8026,1
-311.498,-906.40405,0
-976.60364,29.520996,0
-656.87585,-945.62946,0
-761.1452,493.1366,0
243.06506,-617.4942,0
835.6538,-878.6897,1
-778.717,-869.89185,0
621.94104,-740.5521,0
-998.9736,892.1913,0
640.69543,682.2245,1
881.6155,786.9347,1
933.6937,-57.83203,1
-910.84344,-514.5254,0
-691.9103,676.9846,0
-824.93567,649.19666,0
98.829346,-179.48724,0
-418.40613,-553.04224,0
-62.294983,507.89172,0
-707.5884,-298.38837,0
619.9308,-126.261536,1
-652.43665,-345.3297,0
-698.3021,-87.17493,0
-73.97528,-660.1155,0
467.2489,105.95752,0
-314.64948,-879.0198,0
371.58423,-390.5465,0
96.76172,-924.2588,0
994.9966,464.82593,1
625.3434,598.0801,1
938.20557,-494.0225,1
778.85144,841.6947,1
-858.0592,-575.58325,0
284.95337,-556.6402,0
-167.59625,798.7107,0
955.5597,-659.14575,1
-325.8877,802.58813,0
-841.7711,-560.0184,0
754.2157,776.81494,1
238.45386,387.09204,0
-272.56055,-116.83667,0
-277.0254,-232.03412,0
218.40198,-345.4986,0
683.0781,-319.1225,1
408.1233,413.23145,0
248.18677,-178.89734,0
624.1196,-748.9899,0
933.8535,966.0947,1
708.56287,545.88354,1
184.6195,-934.9985,0
-43.445923,-161.32037,0
331.01257,-986.8481,0
-503.354,298.69446,0
-978.7071,-368.409,0
128.32129,-20.57904,0
-887.61536,-626.3009,0
-163.78394,-401.734,0
990.75586,-154.61926,1
468.45276,669.90674,0
-647.7367,396.5282,0
481.141,505.91748,0
-633.2239,-384.2116,0
-295.7906,-859.88385,0
-791.49274,-478.59784,0
-288.7437,-782.0818,0
-418.49683,-44.74463,0
-221.51099,556.68506,0
-474.37976,-944.73157,0
31.223999,175.87976,0
-782.1602,252.24622,0
-42.85608,-656.1792,0
47.17517,273.0,0
98.65271,79.332275,0
885.42773,-920.3735,1
-390.67694,-541.7658,0
261.85974,-251.57324,0
945.9802,393.19507,1
42.432007,12.644409,0
641.7976,307.41394,1
169.33069,-523.59033,0
-157.89551,-562.94104,0
34.086548,-647.0224,0
83.43567,374.33887,0
137.66858,988.5509,0
657.68164,-97.46246,1
-166.48932,-596.31647,0
-172.97498,-823.7036,0
-845.49084,617.46204,0
-858.32275,864.88074,0
992.6078,615.36475,1
161.25793,3.1195679,0
229.66272,-520.09467,0
-8.012756,984.16394,0
810.8602,423.86365,1
225.68945,380.15613,0
207.03711,249.11926,0
-897.0641,91.36487,0
-770.1682,-900.20325,0
-978.5199,-298.71838,0
-256.32666,-713.3589,0
872.46875,854.64087,1
-538.80896,-569.7564,0
-889.25977,-22.73236,0
-286.29053,-796.06116,0
951.8489,721.11743,1
