%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-219.9801,430.19568,1
-619.2072,797.2019,1
970.9221,-851.2019,0
-616.94617,-521.9785,1
573.0957,-79.189026,0
-28.25653,-462.1557,1
386.6034,-126.121704,0
-108.4444,-48.939575,1
185.26794,-15.570984,0
-480.1142,56.588135,1
769.2875,170.34631,0
-294.4627,585.2025,1
670.18726,-135.51886,0
-941.9859,-500.597,1
275.0172,875.4685,0
896.6891,-597.5242,0
-150.40814,-804.1821,1
688.27856,283.16565,0
965.959,-916.7313,0
-267.3058,184.64417,1
177.17847,219.91296,0
-898.51794,-978.7772,1
-567.1211,-955.3923,1
-610.29736,-786.47345,1
-308.04932,457.7096,1
711.2445,-927.3908,0
464.12915,13.18634,0
-450.7973,935.7561,0
600.1062,-558.33044,0
567.0989,-58.512512,0
550.2036,-110.96741,0
293.35547,-971.4601,1
-475.4712,-391.40924,1
-289.4204,-746.6312,1
512.92883,11.038452,0
212.8534,-157.01813,0
-39.056824,-45.247803,1
138.36658,-465.32172,1
-951.649,950.105,1
-858.6335,-298.46796,1
-20.201294,-445.04865,1
-963.4519,522.22876,1
-527.61914,-345.5381,1
430.63623,26.124023,0
712.9429,546.99585,0
450.06396,229.16321,0
458.26086,798.72217,0
180.28345,773.5636,0
-335.8532,683.2108,1
-948.6087,493.92944,1
54.91577,-311.76672,1
-663.6112,-845.26904,1
-617.45374,50.52649,1
-827.463,-761.14954,1
775.2495,570.29065,0
-927.08826,-885.8416,1
538.06067,-939.29346,0
764.3977,164.85095,0
43.450806,703.7727,0
370.0078,-453.453,0
937.8508,-687.719,0
447.5504,-891.09595,0
790.3701,-961.23846,0
-796.6916,-273.21588,1
522.8806,-574.2544,0
318.53687,790.76013,0
-513.96936,857.71155,1
-741.77594,930.0243,1
883.64233,453.5902,0
-324.2976,175.52075,1
-601.6649,229.7284,1
583.3362,-281.60394,0
334.11145,-33.281555,0
-671.34534,-821.3807,1
-632.9685,629.5209,1
-903.06274,870.8977,1
82.989136,418.82288,0
655.4015,-60.228577,0
882.0006,572.58826,0
360.7821,433.04297,0
-458.7008,-109.72522,1
71.2323,392.458,0
754.92664,-381.7954,0
-464.8839,-137.1781,1
-694.60114,-186.90558,1
73.40625,355.5028,0
-826.58545,591.76465,1
-70.96295,749.5355,0
854.46814,778.5626,0
525.7064,873.3071,0
-573.38416,378.05237,1
-939.7407,82.07117,1
501.53784,29.036255,0
346.92712,31.303955,0
91.4259,136.99341,0
-361.66174,543.17725,1
-362.8783,735.53,1
267.35266,973.1953,0
968.3154,293.45764,0
-614.5803,806.3019,1
-195.48761,-337.37177,1
-182.70807,346.53308,1
555.8573,152.67029,0
108.57544,-688.44226,1
-354.19452,322.2876,1
211.73181,-96.79175,0
-646.98706,492.79663,1
937.79016,-502.6239,0
-742.2864,-781.906,1
-704.8289,481.40857,1
-221.76025,-13.737793,1
-856.34235,964.4093,1
-3.767334,-718.46387,1
-789.30273,95.61011,1
-5.517639,801.3701,0
448.85352,-451.7497,0
269.22375,-898.1416,1
-42.631042,361.16174,0
-570.8899,-764.2199,1
-752.5565,-222.47522,1
355.97192,-948.94525,1
499.96692,-19.972168,0
277.8634,-266.59174,0
-353.9074,-306.0758,1
-207.21436,-94.43262,1
-404.825,514.25134,1
-218.12897,-863.6853,1
741.23425,510.73865,0
-636.302,66.25183,1
998.2554,173.69739,0
566.802,523.1367,0
46.265625,86.453,0
