%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 6
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute class {0, 1}
@data
891.69824,-936.0135,231.01953,700.87537,577.94434,624.36206,1
379.8562,-336.42206,526.98303,-363.95386,828.81384,761.3601,1
445.34436,-118.9704,-552.988,819.0502,-912.294,280.43982,0
-553.9466,389.39905,-645.53296,-698.77844,-442.33258,550.1736,0
918.2529,-31.880981,-656.65497,455.75195,-398.41748,721.25793,0
-976.7677,712.6195,-551.37085,33.447754,963.5032,603.2407,1
717.2097,437.6588,-724.1138,200.35828,862.84204,413.95105,1
859.9734,-506.14673,-5.088928,446.4652,-341.60986,-205.1261,1
-744.3126,484.9109,-103.138306,-112.97815,106.14819,31.31482,1
-354.33844,661.96094,598.25037,-878.37555,-834.11725,-693.10754,1
-628.49164,583.08435,-806.5757,-496.08154,-667.56335,-877.8646,0
565.5397,-443.60498,758.61536,-966.08673,409.24634,-125.04956,1
-85.15765,-376.74884,-512.152,835.92834,177.03906,-211.5813,1
241.27747,-332.41254,130.27905,642.65955,-442.08466,724.4718,1
-859.4872,-465.08435,379.99988,-722.0583,-504.73657,379.9558,0
-128.30933,780.93555,-633.2262,-180.54553,-931.6956,-542.39343,0
571.78564,409.39343,-322.80475,23.563599,-614.6622,765.4885,0
15.203003,360.015,-488.3309,397.1714,-55.45343,-954.7994,1
-276.47894,-178.0163,108.49353,-210.9317,651.83203,476.06995,1
-229.91028,-977.7649,-258.97852,-77.216675,121.6853,-842.1529,1
480.76636,-89.75311,59.9469,375.03247,-316.62787,-59.9599,1
-889.4994,165.21948,796.54517,-816.99097,-561.7009,337.66956,0
24.579346,814.5283,-305.73523,-301.84515,-623.3318,-859.6321,1
-174.28912,-805.2165,669.25806,-754.3519,-82.50537,967.56104,1
980.0647,-676.8049,-367.18707,-556.6527,-915.42456,-676.0658,0
-112.99872,-614.5482,1.559021,120.789185,-985.3483,637.1846,0
932.3191,988.8834,-120.183105,191.26147,599.1156,-121.3349,1
131.02222,-827.9635,-728.60297,694.9103,-882.73975,-664.8829,0
614.1748,593.3806,-141.90594,768.99194,901.08704,168.24658,1
