%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1, 2, 3, 4, 5, 6}
@data
381.64148,153.3772,0
-882.0298,448.2732,1
458.70386,775.093,2
-980.9608,-213.87799,3
-488.98322,481.93457,4
-141.68787,-922.3055,5
556.97034,-502.14163,6
-966.50214,-10.399719,3
663.562,991.4546,2
178.27478,588.0763,2
324.4934,491.33167,2
175.37708,921.51917,2
549.9618,511.43835,2
-760.5894,404.22278,1
247.78479,676.79456,2
-768.7665,531.67737,1
255.38403,910.45935,2
-97.654236,-777.42725,5
596.64233,553.5172,2
539.3048,997.54724,2
151.19763,640.8082,2
-389.23486,502.88196,4
644.05835,-424.78223,6
-374.9322,531.9656,4
-996.10645,570.06213,1
-71.823425,-887.4073,5
586.2611,886.43713,2
265.23865,669.2859,2
300.49817,782.67224,2
461.81396,859.9662,2
-140.36938,-840.9264,5
172.80444,702.99023,2
-888.18884,-397.0531,3
650.6492,738.87476,2
-922.55396,-277.8518,3
494.95654,420.2229,2
-779.6816,-335.7624,3
-572.6404,548.011,4
643.38574,501.89124,2
-929.4431,-301.3636,3
-580.1472,462.51416,4
-755.51025,394.312,1
-212.49493,-915.9336,5
-561.6934,538.7283,4
670.15344,715.79407,2
-737.33875,426.37512,1
-418.81702,381.27393,4
-881.4638,331.76917,1
-278.07996,-865.5845,5
513.47034,-525.6891,6
-966.5898,368.56885,1
777.0895,952.6288,2
445.6631,-536.3893,6
135.91992,765.50354,2
-871.5386,390.65735,1
610.5803,-508.3102,6
344.76,567.84265,2
380.99268,435.06665,2
-458.1936,580.16797,4
447.75403,588.7999,2
-826.1439,430.2561,1
-369.8098,489.80615,4
574.22876,-411.50867,6
-870.037,-91.57257,3
521.0575,439.96106,2
-968.7772,-169.30176,3
135.68225,945.22217,2
273.0232,509.9375,2
361.14062,134.28442,0
409.62695,571.1373,2
-230.88245,-995.05817,5
207.64514,887.60266,2
258.9331,491.26135,2
348.912,171.63367,0
299.7494,558.0231,2
398.49597,980.47595,2
399.92554,519.98474,2
-68.598145,-952.8464,5
189.34851,893.0564,2
-585.7397,420.10242,4
722.2632,908.3645,2
540.9883,-513.82086,6
631.8871,770.615,2
-144.96014,-834.296,5
-878.32263,417.5869,1
437.89014,-546.9841,6
652.94617,513.55334,2
-869.07886,441.47583,1
-126.986084,-783.76465,5
324.95007,649.7307,2
541.5626,745.6323,2
-824.0982,-237.84857,3
-935.9972,363.73926,1
-438.83264,541.7301,4
557.78845,543.3551,2
-757.7594,373.54004,1
200.1394,995.2467,2
145.27588,749.4447,2
666.6918,496.4535,2
4.711975,-788.8955,5
-820.7997,-245.76044,3
594.838,756.7672,2
-903.66174,3.9152832,3
630.86,-553.0343,6
-462.5509,385.64917,4
345.74512,644.11145,2
469.74182,-519.2593,6
-971.32227,-170.60718,3
676.1931,-534.96985,6
306.349,910.5967,2
-859.4706,-138.36072,3
410.5503,819.13806,2
457.24036,-603.09155,6
534.4618,-621.971,6
541.90784,753.4252,2
-466.60364,369.07886,4
-576.32056,421.84436,4
512.60974,849.4354,2
613.30273,776.437,2
183.90955,993.7473,2
-522.05444,511.75488,4
-915.7511,591.3788,1
618.06165,717.07495,2
298.20654,924.68555,2
-341.34705,-953.752,5
764.1255,669.084,2
-846.1644,441.6808,1
282.07263,960.2261,2
455.25525,789.8639,2
383.33228,920.63245,2
265.15234,484.9342,2
-960.53784,442.12378,1
435.0962,429.06128,2
565.47705,-404.0573,6
213.6908,744.83923,2
454.9004,740.30164,2
-848.8852,-38.952393,3
702.7606,854.1127,2
528.07886,-496.7255,6
441.94946,-455.0448,6
-740.0249,480.64368,1
191.32202,612.8815,2
-760.0287,-346.17816,3
-104.49335,-857.8485,5
-834.08203,626.15234,1
151.9176,758.4258,2
351.21667,468.0288,2
-740.14465,-288.9668,3
694.00476,566.0863,2
-837.6062,543.6787,1
-263.91193,-789.19684,5
-899.73816,351.17065,1
636.671,662.99243,2
384.59607,597.364,2
-836.0543,451.21643,1
-993.64594,-249.3291,3
165.70056,952.1073,2
443.1244,434.99707,2
-491.48267,490.85608,4
386.62122,822.41064,2
541.9304,889.3812,2
277.0443,751.6533,2
-872.7715,-144.91528,3
391.33472,964.5664,2
-846.7076,464.87146,1
100.92822,788.7562,2
-160.14758,-973.66156,5
-994.0419,413.98376,1
40.10376,-886.8779,5
471.03833,832.84875,2
-876.9004,-408.62817,3
397.92603,624.5001,2
545.6371,767.3522,2
377.95288,474.2821,2
-790.3784,293.63428,1
-864.6399,-35.93805,3
223.53625,505.27856,2
413.89734,860.526,2
-871.3277,-218.20264,3
663.6404,953.3303,2
367.94153,173.38391,0
442.93933,-544.72046,6
438.26978,954.4209,2
357.35095,567.73083,2
534.2556,892.8208,2
-58.43268,-836.065,5
795.52,892.1959,2
208.1405,916.0657,2
-990.64154,-185.24255,3
-850.3917,629.3761,1
-178.81677,-980.8642,5
-905.39496,303.13428,1
-768.0606,515.46484,1
355.51355,551.74097,2
297.52905,871.83435,2
158.16516,894.2473,2
-983.1242,-39.621826,3
785.2023,923.0564,2
-395.12305,532.7543,4
-41.785217,-764.79095,5
353.51038,736.0967,2
-236.23383,-745.894,5
-806.6564,610.6305,1
450.8534,988.6394,2
131.4674,849.18164,2
-957.09143,12.362976,3
140.98254,725.47205,2
694.80493,869.9557,2
-955.349,-463.07404,3
-828.95044,608.7837,1
148.82043,615.85,2
588.27344,-462.2038,6
252.5564,710.65906,2
764.43567,738.61694,2
-751.4643,-274.5067,3
-866.9409,-187.7149,3
445.00037,872.26587,2
483.88782,-431.92688,6
129.64978,726.60583,2
-186.63501,-896.359,5
-326.38086,-900.9399,5
-137.61584,-724.6428,5
-915.3597,-202.51093,3
-811.14185,-179.02551,3
478.11475,-621.1146,6
606.84644,541.145,2
609.5459,741.756,2
-528.7705,450.81104,4
639.1981,603.3833,2
141.66577,711.57275,2
448.82654,-601.30164,6
-801.95337,-192.50372,3
-913.0513,428.37366,1
484.40198,803.39294,2
340.43872,825.78796,2
-924.229,-423.1759,3
-88.32007,-729.9287,5
-837.645,599.5062,1
-980.04004,507.10193,1
-794.7556,515.3987,1
656.1572,784.3584,2
433.1062,770.7123,2
762.4352,739.47437,2
-71.82532,-897.95935,5
-445.86987,409.55786,4
617.36707,504.24707,2
-696.8981,416.5979,1
-851.76965,-193.91473,3
-80.57532,-956.3513,5
-759.5106,-194.4455,3
279.45703,556.19946,2
195.95349,660.42334,2
-820.48285,548.3617,1
-440.0775,378.09644,4
291.05933,869.478,2
-839.1535,2.0829468,3
581.29785,-583.3053,6
-219.37244,-846.68854,5
421.2577,918.181,2
-903.1721,502.36035,1
242.19067,791.2628,2
676.18164,667.3485,2
495.90625,549.92004,2
510.67517,573.025,2
166.61511,789.44543,2
219.15564,941.6753,2
422.85217,149.89233,0
-48.251648,-898.35944,5
464.18018,812.2477,2
540.7516,559.38464,2
-471.2741,456.2445,4
-983.5628,-236.89099,3
-805.8009,-213.008,3
235.95056,628.6344,2
184.43555,745.32556,2
-790.8795,-128.46143,3
-848.8646,-327.42322,3
-235.04553,-881.92535,5
-859.02277,464.85132,1
528.7269,-585.5779,6
-82.720825,-983.48914,5
686.03406,-499.87085,6
-924.738,-182.26752,3
-897.33154,279.46545,1
705.1815,726.62256,2
657.3878,-425.26532,6
-491.83618,597.3434,4
286.32642,945.4513,2
727.401,895.7291,2
-755.95953,-204.21869,3
-761.6116,562.4933,1
463.9912,625.3761,2
453.30908,989.6279,2
-460.98724,415.15442,4
454.2041,698.22314,2
616.48035,905.468,2
465.51135,-396.61072,6
-284.96735,-823.168,5
-189.72607,-732.22107,5
516.11304,789.9009,2
249.38733,491.21082,2
696.10864,847.04614,2
-33.850586,-943.7714,5
-905.4264,361.03857,1
600.635,732.66174,2
510.7334,500.4347,2
592.41797,-391.94525,6
108.26697,765.0217,2
-192.66089,-877.2489,5
251.1377,923.09766,2
-837.93005,-251.05927,3
-920.75116,-138.0199,3
411.39062,163.02417,0
-946.08093,-468.17993,3
-975.5715,-143.03058,3
778.9077,870.81714,2
537.6388,913.74756,2
587.8496,985.56396,2
375.88928,872.71094,2
496.1692,-578.55334,6
502.62036,462.66248,2
-513.7133,538.2816,4
586.7936,551.8253,2
329.74463,855.9968,2
565.9409,514.2461,2
53.63562,-944.6087,5
374.50574,777.39746,2
675.69055,-554.07007,6
603.2667,830.65027,2
341.4319,179.59424,0
-853.4324,3.486023,3
-598.1569,466.9099,4
-970.5989,-362.83923,3
559.62024,672.48425,2
