%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
@razele sferei {444.96304, 399.84354, }
-139.70587,-839.42065,0
191.86914,558.59644,1
@centrele sferei {-139.70587 , -839.42065 , }
@centrele sferei {191.86914 , 558.59644 , }
-295.7801,-567.0111,0
514.88525,657.8617,1
189.7135,537.8917,1
58.168945,-573.21655,0
-413.28497,-582.9044,0
223.84277,229.91284,1
69.97217,783.54456,1
-174.685,-806.0872,0
-414.65576,-977.45215,0
553.5206,599.8534,1
562.50586,550.8096,1
9.71521,836.333,1
448.46997,424.0835,1
-467.08472,-708.32666,0
112.9386,-744.1714,0
233.95898,-904.97546,0
-76.23547,-666.5728,0
-272.25928,-740.50305,0
-466.02832,-728.8795,0
-504.17978,-928.38763,0
-241.21704,-828.0695,0
-128.47449,660.22815,1
-253.76666,-691.4343,0
-232.78802,-962.1495,0
-466.312,-926.85754,0
-140.43616,-680.0835,0
14.311462,-946.9329,0
33.74829,-849.2056,0
-516.4835,-708.5441,0
41.13855,-778.0801,0
-134.08838,689.1786,1
167.27197,-684.3127,0
351.9131,703.7804,1
423.4308,652.0377,1
306.2245,465.27014,1
-38.28827,500.92932,1
270.0973,400.14893,1
448.54895,640.9081,1
-6.661804,-841.45544,0
88.305176,-558.541,0
514.2831,626.5106,1
-20.672974,321.04102,1
-140.67096,-736.055,0
-54.522827,718.1344,1
-88.317566,-733.05774,0
-442.92023,-814.1438,0
501.0515,494.2461,1
380.2655,879.61475,1
235.98999,-696.07513,0
79.29065,-634.55176,0
104.310425,903.3756,1
-14.486572,468.49194,1
48.49243,-903.5842,0
-292.6739,-831.655,0
-286.7865,-541.3554,0
281.2766,233.55359,1
105.249146,-657.2632,0
-229.53632,-727.79346,0
-53.340393,-460.5039,0
193.40894,394.53088,1
238.31287,-843.7113,0
-62.578125,462.3955,1
440.52966,626.6709,1
35.483276,-768.8068,0
-455.22894,-832.71893,0
133.58496,877.6742,1
171.11938,291.70203,1
168.50818,168.19458,1
-58.647766,624.167,1
39.843994,478.62488,1
182.17212,-637.9612,0
274.05908,532.4579,1
168.16003,616.0697,1
314.359,649.99194,1
475.74548,801.4149,1
-33.81494,-809.30194,0
392.28284,231.9209,1
101.13599,723.46985,1
-368.53534,-569.0093,0
-126.608826,349.1631,1
507.22205,469.891,1
67.62378,343.5232,1
-538.53687,-746.699,0
-173.91956,-996.26434,0
134.56543,-748.0845,0
137.6449,627.6073,1
514.4121,488.52588,1
-128.06549,-480.9026,0
6.6209106,-957.9018,0
-294.04443,-702.4353,0
397.01282,342.08398,1
-116.819214,-873.0334,0
67.20422,703.9026,1
-50.35199,-589.86365,0
-405.77753,-735.07166,0
411.74268,751.3473,1
-67.92151,452.30237,1
-350.77466,-705.9696,0
-236.53882,-551.00635,0
-533.35034,-978.83984,0
126.57715,710.5542,1
428.50012,401.57935,1
97.54639,-591.6308,0
280.08276,471.875,1
42.966553,-558.6682,0
-74.78284,575.28577,1
240.45154,477.1129,1
308.87793,710.7352,1
-53.744812,861.0509,1
508.4049,479.73096,1
232.9342,456.61536,1
-154.2431,657.6741,1
-166.57123,706.24536,1
91.326416,-992.9323,0
172.8175,-652.41626,0
101.81409,-850.7052,0
-440.18762,-750.34064,0
224.34473,-679.7467,0
-215.32458,-968.954,0
-222.10217,-845.93823,0
-497.5679,-674.2367,0
-348.98022,-863.2878,0
69.603516,-506.89886,0
-468.30115,-713.0426,0
550.3025,729.7279,1
283.50696,695.8285,1
